model,acc,macro_f1,per_class_f1
TF-IDF + LogReg,0.9872122762148338,0.9873246211095313,"[0.9935483870967742, 0.9871794871794872, 0.9873417721518988, 1.0, 0.9685534591194969]"
TF-IDF + Linear SVM,0.989769820971867,0.9898547642166156,"[0.9935483870967742, 0.9871794871794872, 0.9813664596273292, 1.0, 0.9871794871794872]"
BERTurk (fine-tuned),0.9948849104859335,0.9949040450834976,"[0.9936305732484076, 0.9935483870967742, 0.9937106918238994, 1.0, 0.9936305732484076]"
XLM-R-base (fine-tuned),0.9923273657289002,0.9923728130291058,"[0.9808917197452229, 0.9936305732484076, 0.9873417721518988, 1.0, 1.0]"
